Classic Pancake Stack, $8.99, 1, breakfast1.jpg
Avocado Toast Delight, $10.49, 1, breakfast2.jpg
Healthy Acai Bowl, $12.99, 1, breakfast3.jpg
Egg and Cheese Croissant, $6.99, 1, breakfast4.jpg
Greek Yogurt Parfait, $9.50, 1, breakfast5.jpg

Classic Caesar Salad, $11.99, 2, lunch1.jpg
Caprese Panini, $13.49, 2, lunch2.jpg
Spicy Chicken Wrap, $14.99, 2, lunch3.jpg
Quinoa and Roasted Vegetable Bowl, $12.50, 2, lunch4.jpg
Mediterranean Falafel Plate, $15.99, 2, lunch5.jpg

Grilled Salmon with Lemon-Dill Sauce, $18.99, 3, dinner1.jpg
Pasta Primavera, $16.49, 3, dinner2.jpg
Steakhouse Filet Mignon, $24.99, 3, dinner3.jpg
Vegetarian Thai Green Curry, $17.50, 3, dinner4.jpg
Lobster Ravioli in Creamy Tomato Sauce, $22.99, 3, dinner5.jpg

Midnight Burger Bliss, $13.99, 4, latenight1.jpg
Loaded Nachos Fiesta, $11.49, 4, latenight2.jpg
Spicy Chicken Wings Platter, $15.99, 4, latenight3.jpg
Margarita Pizza, $12.50, 4, latenight4.jpg
Chocolate Lava Cake, $8.99, 4, latenight5.jpg